molecule_chembl_id,pref_name,canonical_smiles,source,is_linker,standard_smiles
CHEMBL3144386,,CC[C@H](C)[C@H](NC(=O)[C@@H](NC[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@]1(C)CCCN1C(=O)OC(C)(C)C)C(C)C)C(=O)NCc1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O,ChEMBL,1,CC[C@H](C)[C@H](NC(=O)[C@@H](NC[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@]1(C)CCCN1C(=O)OC(C)(C)C)C(C)C)C(=O)NCc1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
CHEMBL1101,BIPERIDEN,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,ChEMBL,1,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
CHEMBL3247163,,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)O,ChEMBL,1,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)O
DECOY_00548,Decoy_00548,COc1cc(CCC(=O)NCCc2c[nH]c3ccc(O)cc23)cc(OC)c1O,Generated_Decoy,0,COc1cc(CCC(=O)NCCc2c[nH]c3ccc(O)cc23)cc(OC)c1O
CHEMBL4555636,,C=CCCSSCCC=C,ChEMBL,1,C=CCCSSCCC=C
DECOY_00689,Decoy_00689,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)c1ccccc1CO[N+](=O)[O-],Generated_Decoy,0,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)c1ccccc1CO[N+](=O)[O-]
DECOY_00136,Decoy_00136,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,Generated_Decoy,0,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5
DECOY_00643,Decoy_00643,C[S+](C)[O-].OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Generated_Decoy,0,C[S+](C)[O-].OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
DECOY_00539,Decoy_00539,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)c1cnccc1Cl,Generated_Decoy,0,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)c1cnccc1Cl
DECOY_00307,Decoy_00307,CN1CCN(C(=O)C2C[C@H]3[C@@H]4CCc5cc(O)ccc5[C@H]4CC[C@]3(C)[C@H]2O)CC1,Generated_Decoy,0,CN1CCN(C(=O)C2C[C@H]3[C@@H]4CCc5cc(O)ccc5[C@H]4CC[C@]3(C)[C@H]2O)CC1
DECOY_00118,Decoy_00118,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,Generated_Decoy,0,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
DECOY_00201,Decoy_00201,COc1cccc(-c2nc(CCN)c[nH]2)c1,Generated_Decoy,0,COc1cccc(-c2nc(CCN)c[nH]2)c1
DECOY_00131,Decoy_00131,CC[C@H](Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[K+],Generated_Decoy,0,CC[C@H](Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[K+]
CHEMBL575822,,COC(=O)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)C,ChEMBL,1,COC(=O)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)C
DECOY_00076,Decoy_00076,C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1,Generated_Decoy,0,C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1
DECOY_00487,Decoy_00487,C[C@]12CC[C@H]3[C@@H](C[C@@H](F)C4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,Generated_Decoy,0,C[C@]12CC[C@H]3[C@@H](C[C@@H](F)C4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
DECOY_00796,Decoy_00796,Cl.O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2ccccc2)CC1,Generated_Decoy,0,Cl.O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2ccccc2)CC1
CHEMBL440986,,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(C)(C)C)C(C)C)C(N)=O,ChEMBL,1,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(C)(C)C)C(C)C)C(N)=O
DECOY_00757,Decoy_00757,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)c1cnoc1C,Generated_Decoy,0,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)c1cnoc1C
DECOY_00231,Decoy_00231,CCOC(=O)C=CC(=O)OCC,Generated_Decoy,0,CCOC(=O)C=CC(=O)OCC
DECOY_00247,Decoy_00247,O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O,Generated_Decoy,0,O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O
CHEMBL554373,,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)CCCCN)C(=O)O,ChEMBL,1,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)CCCCN)C(=O)O
DECOY_00349,Decoy_00349,O=C(/C=C/c1ccc(O)cc1)NCCc1c[nH]c2ccc(O)cc12,Generated_Decoy,0,O=C(/C=C/c1ccc(O)cc1)NCCc1c[nH]c2ccc(O)cc12
CHEMBL70246,ACEFYLLINE,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,ChEMBL,1,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
DECOY_00052,Decoy_00052,CC(=O)Oc1ccccc1C(=O)OCCCCO[N+](=O)[O-],Generated_Decoy,0,CC(=O)Oc1ccccc1C(=O)OCCCCO[N+](=O)[O-]
CHEMBL1018,DIENESTROL,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,ChEMBL,1,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
DECOY_00262,Decoy_00262,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1,Generated_Decoy,0,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1
CHEMBL3638297,,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@@H]4[C@H]3CC[C@@]21C,ChEMBL,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@@H]4[C@H]3CC[C@@]21C
DECOY_00409,Decoy_00409,NCCc1c[nH]c2ccc(O)cc12,Generated_Decoy,0,NCCc1c[nH]c2ccc(O)cc12
CHEMBL117287,PRUCALOPRIDE,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,ChEMBL,1,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1
DECOY_00064,Decoy_00064,Fc1ccc2[nH]c3c(c2c1)CN(CCCc1cccnc1)CC3,Generated_Decoy,0,Fc1ccc2[nH]c3c(c2c1)CN(CCCc1cccnc1)CC3
CHEMBL3644290,,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC1=O,ChEMBL,1,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC1=O
DECOY_00649,Decoy_00649,Cn1c(=O)c2c(nc(SC(C)(C)C)n2C)n(C)c1=O,Generated_Decoy,0,Cn1c(=O)c2c(nc(SC(C)(C)C)n2C)n(C)c1=O
CHEMBL5413782,,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(CCCCCCCCCCCCN=[N+]=[N-])[C@@H](C(=O)O)C(C)C)cc3)n2)s1,ChEMBL,1,Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(CCCCCCCCCCCCN=[N+]=[N-])[C@@H](C(=O)O)C(C)C)cc3)n2)s1
CHEMBL502123,,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(N)=O,ChEMBL,1,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(N)=O
DECOY_00679,Decoy_00679,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,Generated_Decoy,0,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2
DECOY_00328,Decoy_00328,CCCCCCCCCCCCS(=O)(=O)OC[C@H]1OC(O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H]1OP(=O)(O)O,Generated_Decoy,0,CCCCCCCCCCCCS(=O)(=O)OC[C@H]1OC(O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H]1OP(=O)(O)O
CHEMBL4633561,,Cc1cc(Nc2nn(C3CC3)c3cnc(S(=O)(=O)N4CCC(OC(=O)[C@@H](N)C(C)C)CC4)cc23)ccc1F.O=C(O)C(F)(F)F,ChEMBL,1,Cc1cc(Nc2nn(C3CC3)c3cnc(S(=O)(=O)N4CCC(OC(=O)[C@@H](N)C(C)C)CC4)cc23)ccc1F
CHEMBL1200969,DUTASTERIDE,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,ChEMBL,1,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12
DECOY_00452,Decoy_00452,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NS(=O)(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],Generated_Decoy,0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NS(=O)(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]
CHEMBL3600868,,CCN1/C(=C/C=C/C2=[N+](CC)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(CCCC(=O)NCCCC[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(N=[N+]=[N-])cc2)NC(=O)[C@@H](Cc2ccc(N=[N+]=[N-])cc2)NC(=O)CCNC(=O)[C@]2(Cc3cccc(Nc4nccs4)n3)CC[C@@H](Oc3cccc(Cl)c3F)CC2)C(N)=O)c2cc(S(=O)(=O)O)ccc21,ChEMBL,1,CCN1/C(=C/C=C/C2=[N+](CC)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(CCCC(=O)NCCCC[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(N=[N+]=[N-])cc2)NC(=O)[C@@H](Cc2ccc(N=[N+]=[N-])cc2)NC(=O)CCNC(=O)[C@]2(Cc3cccc(Nc4nccs4)n3)CC[C@@H](Oc3cccc(Cl)c3F)CC2)C(N)=O)c2cc(S(=O)(=O)O)ccc21
DECOY_00342,Decoy_00342,Br.CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,Generated_Decoy,0,Br.CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
DECOY_00242,Decoy_00242,CCCN(c1ccncc1)n1ccc2ccccc21,Generated_Decoy,0,CCCN(c1ccncc1)n1ccc2ccccc21
